Family 1	Family 2
ACCIAIUOLI	MEDICI
ALBIZZI	MEDICI
ALBIZZI	GUADAGNI
ALBIZZI	GINORI
BARBADORI	PERUZZI
BARBADORI	MEDICI
BARBADORI	GINORI
BARBADORI	CASTELLANI
BISCHERI	STROZZI
BISCHERI	PERUZZI
BISCHERI	LAMBERTESCHI
BISCHERI	GUADAGNI
CASTELLANI	STROZZI
CASTELLANI	PERUZZI
CASTELLANI	LAMBERTESCHI
CASTELLANI	BARBADORI
GINORI	MEDICI
GINORI	BARBADORI
GINORI	ALBIZZI
GUADAGNI	TORNABUONI
GUADAGNI	LAMBERTESCHI
GUADAGNI	BISCHERI
GUADAGNI	ALBIZZI
LAMBERTESCHI	PERUZZI
LAMBERTESCHI	GUADAGNI
LAMBERTESCHI	CASTELLANI
LAMBERTESCHI	BISCHERI
MEDICI	TORNABUONI
MEDICI	SALVIATI
MEDICI	RIDOLFI
MEDICI	PAZZI
MEDICI	GINORI
MEDICI	BARBADORI
MEDICI	ALBIZZI
MEDICI	ACCIAIUOLI
PAZZI	SALVIATI
PAZZI	MEDICI
PERUZZI	STROZZI
PERUZZI	LAMBERTESCHI
PERUZZI	CASTELLANI
PERUZZI	BISCHERI
PERUZZI	BARBADORI
RIDOLFI	TORNABUONI
RIDOLFI	STROZZI
RIDOLFI	MEDICI
SALVIATI	PAZZI
SALVIATI	MEDICI
STROZZI	RIDOLFI
STROZZI	PERUZZI
STROZZI	CASTELLANI
STROZZI	BISCHERI
TORNABUONI	RIDOLFI
TORNABUONI	MEDICI
TORNABUONI	GUADAGNI
PUCCI	PUCCI
